	sentence	v	a	d
7508	match	5.6	3.0	6.1
7509	matchbook	5.0	3.6	6.2
7510	matching	6.3	3.0	5.8
7511	matchmaker	5.6	4.0	5.4
7512	mate	7.2	6.0	6.8
7513	material	5.7	3.7	5.5
7514	materialism	3.5	3.5	4.9
7515	materialistic	3.8	4.0	4.6
7516	materialize	5.8	4.0	6.6
7517	maternal	6.7	4.4	6.3
7518	maternity	5.8	4.8	4.8
7519	math	4.4	5.0	5.8
7520	mathematical	5.3	3.5	6.0
7521	mathematician	5.2	3.6	4.8
7522	mathematics	4.9	4.3	5.3
7523	matinee	6.0	3.0	5.3
7524	mating	5.8	6.4	5.7
7525	matrimony	7.0	5.8	6.3
7526	matrix	5.9	4.4	4.6
7527	matron	4.8	3.6	5.7
7528	matter	5.8	4.0	6.1
7529	mattress	5.7	3.4	6.2
7530	mature	6.0	3.5	7.0
7531	maturity	6.5	3.6	6.8
7532	maudlin	4.8	3.6	4.6
7533	mausoleum	4.5	3.9	4.6
7534	mauve	5.1	2.9	5.4
7535	maverick	6.6	4.6	5.2
7536	maxim	5.7	4.1	5.6
7537	maximize	6.2	4.7	5.9
7538	maximum	4.7	5.0	5.6
7539	may	5.6	3.2	5.9
7540	mayday	4.4	4.3	4.2
7541	mayflower	5.3	2.9	5.3
7542	mayhem	3.6	6.0	3.9
7543	mayonnaise	5.6	3.9	5.9
7544	mayor	4.6	4.2	6.2
7545	maze	5.8	4.8	4.6
7546	meadow	7.3	2.6	6.2
7547	meager	3.4	4.6	4.5
7548	meal	7.0	4.8	7.1
7549	mean	2.4	4.8	4.2
7550	meanie	3.2	4.8	4.5
7551	meaning	6.4	4.0	6.5
7552	meaningful	6.8	3.8	6.3
7553	meaningless	3.0	3.0	3.6
7554	meanness	3.1	5.2	5.1
7555	meantime	4.4	3.9	5.3
7556	measles	2.6	4.5	4.1
7557	measure	5.1	4.4	5.4
7558	measurement	5.1	3.1	5.2
7559	measuring cup	5.8	3.6	6.5
7560	measuring tape	5.4	2.2	6.9
7561	meat	6.6	4.3	5.6
7562	meatball	6.7	4.8	5.4
7563	meathead	3.4	4.2	3.8
7564	meatloaf	5.2	4.5	5.6
7565	mechanic	5.4	4.4	5.2
7566	mechanical	5.7	5.4	5.0
7567	mechanics	6.0	3.9	5.2
7568	mechanism	4.9	3.6	5.4
7569	med	5.0	3.5	5.6
7570	medal	5.2	5.3	5.9
7571	medallion	5.8	3.2	5.5
7572	meddle	3.9	4.4	4.8
7573	medial	4.6	3.6	5.0
7574	median	4.5	3.2	6.0
7575	mediation	5.5	2.8	5.8
7576	medic	5.2	3.6	5.5
7577	medical	5.2	4.0	4.2
7578	medicate	4.2	4.1	5.9
7579	medication	3.6	4.6	6.2
7580	medicinal	5.4	5.9	5.2
7581	medicine	5.9	4.0	5.4
7582	medieval	5.6	4.4	5.3
7583	mediocre	4.4	3.0	4.2
7584	mediocrity	3.7	3.6	3.7
7585	meditate	6.5	2.8	7.2
7586	meditation	7.2	2.5	7.4
7587	medium	4.8	3.0	5.2
7588	medley	6.6	4.5	6.0
7589	meek	4.9	3.1	5.0
7590	meet	6.1	3.7	5.9
7591	meeting	4.6	3.7	5.5
7592	mega	5.6	5.1	6.2
7593	melancholy	3.7	4.1	4.0
7594	mellow	6.7	2.8	7.0
7595	melodrama	4.2	4.8	4.6
7596	melodramatic	4.2	5.8	4.6
7597	melody	6.6	4.9	6.2
7598	melon	6.3	3.7	5.8
7599	melt	6.0	3.0	4.5
7600	meltdown	3.0	4.8	3.0
7601	member	6.0	3.5	6.9
7602	membership	5.6	4.4	5.5
7603	membrane	5.0	3.2	4.3
7604	memento	6.8	4.0	5.3
7605	memo	4.7	2.4	5.9
7606	memorabilia	6.6	3.8	6.0
7607	memorable	6.5	4.8	6.3
7608	memorandum	4.5	4.0	6.1
7609	memorial	5.7	3.2	5.2
7610	memories	7.0	4.2	6.1
7611	memorize	5.7	3.9	5.6
7612	memory	6.6	4.1	5.8
7613	menace	3.1	4.9	4.4
7614	menacing	3.1	4.8	4.2
7615	mend	6.5	3.8	5.8
7616	menial	3.8	3.8	5.3
7617	meningitis	2.6	5.4	3.4
7618	menopause	1.9	3.6	4.3
7619	menstrual	2.8	4.3	3.4
7620	mental	4.6	3.7	5.5
7621	mentality	4.8	4.6	6.2
7622	menthol	4.9	2.9	5.4
7623	mention	5.4	2.6	5.3
7624	mentor	7.0	3.5	6.6
7625	menu	6.3	4.2	6.3
7626	meow	6.1	3.4	5.8
7627	mercenary	3.9	5.1	4.3
7628	merchandise	5.2	3.8	4.8
7629	merchant	5.2	3.7	5.2
7630	merciful	7.0	4.2	6.8
7631	merciless	3.0	5.0	5.0
7632	mercury	5.7	4.8	4.0
7633	mercy	6.4	3.7	5.6
7634	mere	4.7	3.7	5.2
7635	merengue	6.5	3.4	5.1
7636	merge	5.0	3.5	5.5
7637	merger	4.1	4.2	4.6
7638	meringue	6.6	4.0	5.2
7639	merit	6.9	3.2	5.9
7640	mermaid	7.0	5.6	4.3
7641	merry	7.2	4.6	7.1
7642	mescaline	5.0	4.6	4.6
7643	mesh	5.2	3.1	5.2
7644	mess	3.5	4.7	2.9
7645	message	6.2	3.8	6.8
7646	messenger	5.6	4.6	5.6
7647	messiah	6.7	3.8	3.7
7648	messy	3.0	4.6	4.8
7649	metabolic	5.1	4.7	5.0
7650	metabolism	5.4	4.2	4.4
7651	metal	5.0	3.5	6.5
7652	metallic	5.3	4.3	5.2
7653	metamorphosis	5.2	4.3	5.1
7654	metaphor	6.1	4.1	5.4
7655	metaphysical	5.5	4.0	5.4
7656	meteor	5.1	5.6	3.9
7657	meteorite	7.2	6.4	3.5
7658	meter	5.5	3.2	5.2
7659	meth	2.6	4.4	3.1
7660	methadone	3.0	3.8	4.5
7661	methane	3.5	3.7	4.4
7662	method	5.2	4.2	6.1
7663	methodical	5.1	3.8	5.4
7664	methodology	4.8	3.4	5.5
7665	meticulous	5.1	4.8	5.4
7666	metric	5.0	3.7	5.1
7667	metropolis	5.0	5.0	5.6
7668	metropolitan	5.8	4.9	5.4
7669	mew	6.0	4.6	5.6
7670	mezzanine	5.3	3.8	5.1
7671	micro	5.5	3.5	4.4
7672	microchip	5.6	3.5	5.2
7673	microfilm	5.5	3.5	5.3
7674	microphone	5.1	4.2	5.4
7675	microscope	6.3	4.0	5.0
7676	microscopic	5.2	3.9	5.3
7677	microwave	5.2	4.0	5.6
7678	mid	5.2	2.8	5.3
7679	midair	5.0	5.2	4.8
7680	midday	5.4	3.6	4.9
7681	middle	5.2	2.8	5.1
7682	middleman	4.2	3.9	5.3
7683	middleweight	4.1	4.0	4.0
7684	midget	4.6	4.0	3.7
7685	midlife	4.7	3.1	5.3
7686	midline	4.8	3.4	4.4
7687	midnight	6.2	4.0	6.3
7688	midshipman	4.8	2.7	5.1
7689	midst	5.2	2.6	5.1
7690	midsummer	6.2	4.8	5.1
7691	midterm	4.1	4.8	4.3
7692	midtown	5.8	4.2	5.5
7693	midwife	5.6	3.1	6.0
7694	mighty	6.4	5.4	6.8
7695	mignon	5.6	3.4	4.8
7696	migraine	2.7	5.0	3.1
7697	migrate	4.6	3.3	5.6
7698	migration	4.5	3.5	4.9
7699	mil	4.8	4.0	5.6
7700	mild	5.9	2.4	5.7
7701	mildew	2.6	4.1	4.2
7702	mile	4.8	3.4	5.3
7703	mileage	5.9	3.0	5.6
7704	milestone	6.8	4.6	6.4
7705	militant	4.0	5.4	4.4
7706	military	4.9	5.8	5.9
7707	militia	4.2	4.4	4.5
7708	milk	6.7	2.3	6.3
7709	milkman	5.8	2.7	5.5
7710	milkshake	7.3	4.0	6.0
7711	milky	5.0	3.7	5.4
7712	mill	5.4	2.2	4.8
7713	millennium	4.8	4.6	4.7
7714	milligram	5.3	3.1	4.1
7715	millimeter	4.9	3.6	5.8
7716	million	7.6	5.4	5.8
7717	millionaire	7.3	6.1	5.7
7718	millionth	5.4	4.6	5.0
7719	millstone	4.9	3.1	6.4
7720	mime	4.6	2.8	4.8
7721	mimic	4.7	3.8	6.0
7722	mince	5.2	4.1	5.7
7723	mincemeat	4.0	3.8	4.2
7724	mind	6.7	5.0	6.1
7725	mindful	6.7	6.0	6.8
7726	mindless	3.0	3.1	3.9
7727	minefield	3.6	5.5	3.7
7728	miner	4.8	4.0	4.7
7729	mineral	6.0	2.9	4.7
7730	mingle	5.2	4.4	5.4
7731	mini	5.9	3.0	5.2
7732	miniature	6.1	4.0	4.4
7733	minibus	4.9	3.6	4.5
7734	minimal	4.6	3.4	4.7
7735	minimize	5.2	4.2	5.4
7736	minimum	4.8	3.3	5.2
7737	mining	4.5	4.6	5.5
7738	minion	5.3	5.0	3.9
7739	minister	5.0	3.8	5.6
7740	ministry	5.1	3.8	4.5
7741	minivan	4.4	3.0	5.9
7742	mink	5.9	3.2	4.9
7743	minor	4.8	3.3	4.8
7744	minority	4.8	3.1	4.9
7745	mint	6.6	4.9	6.6
7746	minty	7.0	3.2	5.1
7747	minute	5.5	3.8	4.2
7748	minx	6.6	4.0	4.8
7749	miracle	7.3	5.5	5.3
7750	miraculous	6.4	6.2	4.4
7751	mirage	4.5	3.8	4.2
7752	mire	4.2	3.9	4.2
7753	mirror	5.9	4.6	5.5
7754	misbehave	3.8	4.3	4.6
7755	miscalculation	3.2	4.7	5.0
7756	miscarriage	2.5	5.7	2.3
7757	miscellaneous	5.4	4.0	5.1
7758	mischief	4.8	5.8	5.0
7759	mischievous	4.5	4.9	4.9
7760	misconception	3.6	3.4	4.3
7761	misconduct	3.6	4.6	5.2
7762	misdemeanor	2.8	5.2	4.0
7763	misdirection	3.7	3.8	3.4
7764	miser	3.4	3.9	4.5
7765	miserable	2.6	5.1	3.9
7766	misery	2.2	4.8	3.8
7767	misfire	2.6	4.6	3.0
7768	misfit	4.2	5.1	4.5
7769	misfortune	2.4	4.2	2.9
7770	misguided	3.6	4.3	3.2
7771	mishap	3.5	4.6	3.3
7772	mislead	3.2	5.1	4.2
7773	misleading	3.1	4.5	3.7
7774	misplace	3.2	4.8	4.1
7775	misread	3.6	3.8	3.3
7776	miss	4.1	3.9	5.1
7777	missile	2.8	5.7	4.2
7778	mission	6.4	5.5	4.9
7779	missionary	5.3	4.2	5.6
7780	missy	5.4	3.4	4.8
7781	mist	6.5	3.0	4.7
7782	mistake	2.9	4.9	4.7
7783	mister	5.6	3.2	4.8
7784	mistletoe	7.1	4.8	6.6
7785	mistress	3.9	6.0	5.3
7786	mistrial	4.2	3.3	4.3
7787	mistrust	2.0	5.1	4.4
7788	misty	5.1	2.5	5.0
7789	misunderstand	4.0	5.1	3.5
7790	misunderstanding	2.9	4.5	3.8
7791	misuse	3.2	4.5	4.9
7792	mite	3.9	4.7	5.2
7793	miter	4.5	3.0	4.4
7794	mitigate	5.4	3.9	5.9
7795	mitigating	4.5	3.8	4.7
7796	mitt	5.5	2.8	5.0
7797	mitten	5.6	2.3	5.9
7798	mitzvah	4.5	4.2	5.1
7799	mix	5.7	2.9	5.6
7800	mixer	4.9	4.2	5.2
7801	mixture	5.9	3.5	6.0
7802	mnemonic	5.1	3.4	5.3
7803	moan	4.0	5.5	6.0
7804	moat	5.2	4.2	5.0
7805	mob	3.7	4.9	3.5
7806	mobile	5.8	3.8	5.9
7807	mobility	5.5	4.7	7.1
7808	mobilize	6.0	4.6	6.2
7809	mobster	3.0	5.1	4.0
7810	mocha	6.5	3.4	5.6
7811	mock	3.8	5.0	5.2
7812	mockery	3.0	4.5	4.1
7813	mockingbird	6.4	4.6	5.5
7814	mod	5.6	3.6	4.8
7815	mode	5.2	3.4	6.1
7816	model	6.4	3.9	6.5
7817	modeling	5.7	3.9	4.6
7818	modem	5.3	3.6	4.5
7819	moderate	5.5	4.0	5.5
7820	moderation	5.3	3.7	5.4
7821	modern	6.0	5.4	5.3
7822	modest	6.4	2.9	7.0
7823	modesty	6.2	4.4	5.8
7824	modicum	5.0	3.3	5.2
7825	modification	5.0	4.1	6.6
7826	modify	5.1	3.8	6.4
7827	module	4.9	4.3	5.4
7828	mogul	5.4	3.5	5.1
7829	moist	5.5	4.2	4.5
7830	moisture	5.5	4.4	4.1
7831	moisturizer	6.4	3.0	5.9
7832	molar	4.7	3.5	5.1
7833	molasses	5.9	3.1	5.7
7834	mold	2.7	3.8	4.5
7835	moldy	2.0	4.4	4.3
7836	mole	4.2	3.8	5.3
7837	molecular	5.5	3.5	5.1
7838	molecule	5.4	3.7	4.8
7839	molest	1.9	6.4	2.6
7840	molester	1.5	5.0	3.2
7841	molten	4.8	4.3	4.1
7842	mom	7.6	4.6	6.3
7843	moment	6.1	4.0	6.0
7844	momentary	5.0	3.7	4.8
7845	momentous	6.4	4.9	6.0
7846	momentum	6.1	4.1	5.2
7847	momma	7.4	3.4	5.1
7848	mommy	7.4	3.7	4.9
7849	monarch	4.3	3.4	3.8
7850	monarchy	3.3	3.7	4.0
7851	monastery	4.8	2.5	4.6
7852	monetary	6.3	4.5	5.6
7853	money	7.1	6.9	6.3
7854	mongoloid	4.2	4.3	3.8
7855	mongoose	5.0	3.6	4.2
7856	mongrel	3.5	4.5	3.5
7857	monitor	5.0	3.9	5.8
7858	monk	4.9	2.6	5.0
7859	monkey	5.8	5.2	5.7
7860	mono	3.8	3.0	4.9
7861	monogamous	7.0	4.4	7.0
7862	monogamy	6.4	3.5	5.6
7863	monogrammed	4.8	2.8	4.8
7864	monolith	5.2	3.6	4.3
7865	monologue	5.4	3.0	4.7
7866	monopoly	5.3	4.8	6.1
7867	monotonous	3.0	2.7	4.6
7868	monoxide	3.0	4.6	4.8
7869	monsieur	5.5	3.3	5.9
7870	monsoon	2.8	4.5	3.1
7871	monster	2.6	5.6	5.0
7872	monstrosity	3.8	5.8	4.2
7873	monstrous	3.4	5.9	3.9
7874	montage	5.5	4.8	5.8
7875	month	5.8	3.6	5.0
7876	monthly	5.3	3.5	4.7
7877	monument	6.2	2.8	5.4
7878	monumental	5.7	5.2	6.1
7879	moo	5.5	4.0	5.2
7880	mooch	3.7	5.8	5.2
7881	mood	5.3	4.5	5.8
7882	moody	3.7	5.0	4.3
7883	moon	7.0	3.4	6.1
7884	moonbeam	7.2	4.5	4.8
7885	moonlight	7.0	3.6	6.3
7886	moonlit	7.2	4.0	6.0
7887	moonshine	5.5	4.7	5.0
7888	moonwalk	6.2	5.2	6.1
7889	moor	5.0	4.0	5.3
7890	moose	6.7	4.8	5.0
7891	moot	4.6	3.7	5.5
7892	mop	4.5	3.1	5.3
7893	mope	3.3	3.3	4.8
7894	moped	5.0	3.6	5.4
7895	moral	6.8	3.7	6.3
7896	morale	6.0	4.1	6.2
7897	morality	6.5	4.8	6.5
7898	moray	4.7	4.4	5.2
7899	morbid	2.7	5.3	4.5
7900	mores	5.2	2.6	4.4
7901	morgue	1.8	3.5	3.3
7902	morn	3.6	3.0	4.3
7903	morning	6.4	4.0	6.4
7904	moron	4.3	4.5	4.6
7905	moronic	3.2	3.8	3.2
7906	morph	5.5	5.2	4.6
7907	morphine	4.6	5.1	4.6
7908	morsel	5.3	3.4	5.5
7909	mortal	4.4	3.6	3.9
7910	mortality	5.2	6.9	3.6
7911	mortar	4.1	4.4	4.9
7912	mortgage	3.4	4.4	3.7
7913	mortician	3.6	3.3	3.6
7914	mortuary	2.2	3.6	3.9
7915	mosaic	6.3	3.7	5.2
7916	mosey	5.8	4.5	5.4
7917	mosque	4.1	3.0	4.0
7918	mosquito	3.1	5.2	3.9
7919	motel	5.3	3.6	4.5
7920	moth	4.5	2.6	4.6
7921	mother	7.5	4.7	6.1
7922	motherfucker	1.6	7.3	2.6
7923	motherfucking	4.0	5.9	4.2
7924	motherhood	6.8	5.5	6.0
7925	motherland	5.8	4.2	5.8
7926	motherless	1.9	4.5	4.2
7927	motherly	7.7	3.7	5.1
7928	motif	5.3	4.2	6.4
7929	motion	5.8	4.7	6.2
7930	motivate	6.0	5.1	7.2
7931	motivation	6.2	4.7	6.4
7932	motivational	6.8	6.4	7.1
7933	motive	5.3	4.9	6.2
7934	motley	4.9	3.0	4.5
7935	motor	5.6	5.4	5.5
7936	motorbike	6.0	5.7	5.6
7937	motorboat	6.2	4.2	5.2
7938	motorcade	4.6	4.7	4.8
7939	motorcar	5.7	4.0	6.0
7940	motorcycle	5.8	5.8	5.6
7941	motorist	5.5	4.2	5.8
7942	motto	6.0	3.9	6.3
7943	mould	3.6	3.4	5.3
7944	mound	5.4	3.6	5.5
7945	mount	5.4	4.1	5.6
7946	mountain	6.6	4.1	6.2
7947	Mountain Dew	5.5	5.0	5.7
7948	mountaintop	6.5	4.3	5.5
7949	mourn	2.4	5.0	4.1
7950	mournful	3.3	2.8	3.6
7951	mourning	1.7	3.9	3.6
7952	mouse	4.8	3.4	4.3
7953	mousetrap	4.8	4.0	5.5
7954	mousse	6.0	3.2	6.0
7955	moustache	5.4	3.2	5.3
7956	mousy	3.7	3.1	3.2
7957	mouth	5.6	4.1	6.0
7958	mouthful	4.9	3.8	4.6
7959	mouthpiece	4.6	3.6	4.6
7960	mouthwash	5.7	2.7	5.4
7961	move	5.0	4.2	5.1
7962	movement	6.6	4.0	6.0
7963	mover	4.6	3.8	5.4
7964	movie	7.2	4.4	5.7
7965	mow	4.9	4.2	5.6
7966	mower	4.8	2.8	5.4
7967	moxie	6.1	3.8	5.8
7968	mozzarella	7.2	4.5	6.3
7969	muck	3.1	3.6	4.1
7970	mucous	3.0	3.8	4.4
7971	mucus	2.8	4.2	4.2
7972	mud	5.1	3.2	4.3
7973	muddle	4.5	3.0	4.8
7974	muddy	4.1	4.2	4.6
7975	muff	5.6	3.6	4.4
7976	muffin	7.1	4.0	6.3
7977	muffled	4.7	3.9	4.2
7978	muffler	3.6	4.3	4.6
7979	mug	4.2	3.8	4.8
7980	mugger	1.9	5.7	3.0
7981	mulberry	5.7	2.8	5.4
7982	mulch	5.3	3.5	5.2
7983	mule	4.3	2.8	4.5
7984	mull	4.4	3.1	5.1
7985	mullet	3.9	3.8	5.6
7986	multimedia	6.5	4.8	5.9
7987	multinational	5.3	3.9	5.3
7988	multiple	5.0	4.0	5.6
7989	multiple sclerosis	2.4	5.1	2.3
7990	multiplex	5.1	5.0	5.4
7991	multiply	5.4	4.4	5.5
7992	multitude	5.0	4.1	5.2
7993	mum	5.4	3.4	4.5
7994	mumble	4.4	3.2	3.7
7995	mumbo	4.8	5.1	4.8
7996	mummy	4.8	3.8	4.4
7997	mumps	2.6	3.8	3.4
7998	munch	6.3	3.6	6.1
7999	munchkin	7.0	4.3	4.1
8000	mundane	3.6	2.8	4.0
8001	municipal	4.9	3.0	4.9
8002	mural	6.7	3.4	6.0
8003	murder	1.5	6.2	3.4
8004	murderer	1.9	6.8	2.8
8005	murderess	2.6	5.8	3.5
8006	murderous	2.0	7.0	3.0
8007	murky	3.4	3.4	3.8
8008	murmur	4.6	4.1	4.4
8009	muscle	6.2	4.6	6.8
8010	muscular	6.3	5.0	6.5
8011	muse	6.3	4.8	6.1
8012	museum	6.7	3.7	5.4
8013	mush	4.0	3.2	4.8
8014	mushroom	5.6	3.1	5.5
8015	mushy	4.6	3.7	5.5
8016	music	7.7	5.6	6.5
8017	musical	7.7	5.6	5.4
8018	musician	6.8	5.5	5.7
8019	musk	4.5	2.4	4.6
8020	musket	4.1	4.0	4.6
8021	musketeer	4.8	4.7	5.0
8022	muskrat	4.2	3.5	4.3
8023	must	5.4	4.1	5.1
8024	mustang	6.3	6.1	6.0
8025	mustard	4.7	3.4	5.7
8026	muster	4.7	3.6	5.4
8027	musty	3.4	3.5	4.2
8028	mutant	5.1	4.6	4.5
8029	mutate	4.2	5.9	4.0
8030	mutation	4.1	4.6	4.2
8031	mute	4.0	2.4	4.2
8032	muted	3.6	2.2	4.9
8033	mutilate	2.0	5.0	2.9
8034	mutilated	2.7	6.0	3.3
8035	mutilation	2.3	5.4	2.7
8036	mutiny	4.2	5.2	4.6
8037	mutt	4.8	4.1	4.5
8038	mutter	4.4	3.7	5.6
8039	mutual	6.5	3.5	6.4
8040	muzzle	4.0	4.6	3.5
8041	myriad	5.5	3.5	5.4
8042	mysterious	6.0	5.4	4.8
8043	mystery	5.3	5.0	4.3
8044	mystic	6.1	4.5	4.7
8045	mystical	6.6	5.0	5.8
8046	mysticism	6.0	4.3	4.6
8047	mystified	6.0	5.8	4.7
8048	mystique	6.5	5.7	5.3
8049	myth	6.1	4.0	5.4
8050	mythical	6.1	5.1	4.9
8051	mythology	6.1	4.3	4.8
8052	nab	3.6	4.3	4.8
8053	nacho	7.0	4.4	5.8
8054	nada	4.6	3.7	4.1
8055	nag	2.3	4.7	4.0
8056	nail	4.6	3.0	5.2
8057	nail gun	4.1	4.8	6.0
8058	naive	4.2	3.9	5.0
8059	naked	6.2	5.6	5.6
8060	nakedness	6.7	6.6	5.2
8061	name	5.6	3.0	5.1
8062	nameless	2.8	2.8	4.6
8063	nana	5.8	3.8	5.1
8064	nanny	5.9	4.0	5.4
8065	nanometer	5.2	3.6	5.5
8066	nap	6.5	4.1	5.9
8067	napalm	2.7	5.3	4.1
8068	napkin	5.6	3.1	5.2
8069	nappy	3.1	3.3	4.2
8070	narcissism	3.2	5.0	4.2
8071	narcissist	3.1	5.8	4.0
8072	narcissistic	3.0	5.0	4.9
8073	narcotic	3.5	4.4	3.4
8074	narrative	6.3	3.2	5.6
8075	narrator	6.5	2.6	5.8
8076	narrow	5.0	4.5	5.2
8077	nasal	4.3	3.4	4.3
8078	nasty	3.0	5.4	4.0
8079	nation	6.0	4.8	4.7
8080	national	5.6	3.4	6.6
8081	nationality	5.6	3.5	5.3
8082	nationwide	5.2	3.7	5.4
8083	native	5.8	3.0	6.0
8084	natural	6.4	3.7	5.2
8085	natural gas	4.5	3.4	5.2
8086	nature	6.9	4.0	5.0
8087	naughty	6.0	7.0	5.8
8088	nausea	1.7	4.6	3.0
8089	nauseating	2.7	4.3	3.7
8090	nauseous	2.0	4.2	3.2
8091	nautical	6.2	3.4	4.9
8092	nautilus	5.3	3.8	5.6
8093	naval	5.2	2.9	5.2
8094	nave	3.9	3.5	4.3
8095	navel	4.9	3.4	5.5
8096	navigate	5.0	4.2	5.7
8097	navigation	5.8	4.0	6.6
8098	navigational	5.1	4.0	6.4
8099	navigator	5.5	4.1	6.4
8100	navy	5.4	3.6	5.1
8101	nearsighted	4.5	3.8	3.9
8102	neat	7.0	4.1	5.6
8103	nebula	7.0	4.0	4.3
8104	necessary	5.4	3.4	4.9
8105	necessity	5.3	4.6	4.8
8106	neck	5.4	3.6	5.2
8107	necklace	6.8	3.5	5.6
8108	necktie	4.8	2.6	4.9
8109	necromancer	4.1	6.0	3.9
8110	nectar	6.8	4.0	5.8
8111	need	5.4	3.7	5.1
8112	needle	4.0	4.4	5.1
8113	needlepoint	5.6	3.2	5.4
8114	needless	4.2	3.0	4.2
8115	needy	2.9	4.7	4.3
8116	nefarious	3.8	5.7	4.2
8117	negative	2.5	5.0	4.3
8118	negativity	2.7	5.1	3.4
8119	neglect	2.2	4.7	3.7
8120	negligee	6.2	4.7	5.6
8121	negligence	2.7	4.2	3.8
8122	negligent	2.0	4.4	4.6
8123	negligible	3.8	3.9	4.7
8124	negotiable	6.0	4.6	5.6
8125	negotiate	5.6	5.0	5.8
8126	negotiation	6.0	4.8	6.2
8127	negotiator	5.1	4.4	5.6
8128	negro	3.8	5.3	4.4
8129	neighbor	5.6	3.7	5.1
8130	neighborhood	6.1	4.0	7.0
8131	neighboring	6.0	4.0	4.9
8132	nemesis	2.4	5.5	4.2
8133	neon	6.5	4.6	5.6
8134	nephew	6.8	4.3	5.9
8135	nerd	5.2	4.5	5.9
8136	nerdy	4.7	4.3	5.7
8137	nerve	4.4	5.3	5.4
8138	nervous	3.6	5.5	4.0
8139	nervousness	3.1	4.4	3.9
8140	nest	5.6	3.4	5.5
8141	net	5.0	3.0	4.6
8142	nether	4.8	4.0	4.9
8143	network	5.0	4.4	5.4
8144	networking	5.6	3.7	6.3
8145	neural	6.0	3.2	4.6
8146	neurological	3.9	4.6	4.3
8147	neurologist	5.0	3.9	5.2
8148	neurology	5.0	4.6	4.6
8149	neurosis	3.2	4.3	3.1
8150	neurosurgeon	4.7	4.8	5.3
8151	neurosurgery	4.2	5.1	3.7
8152	neurotic	3.8	5.0	4.2
8153	neuter	4.1	4.9	4.2
8154	neutral	5.5	3.4	5.8
8155	neutralize	5.2	3.4	5.4
8156	neutron	6.6	4.5	4.8
8157	new	7.7	5.1	5.2
8158	new age	5.0	4.4	4.8
8159	newborn	7.5	5.0	4.9
8160	newcomer	5.8	5.0	4.6
8161	newfound	5.9	3.4	6.2
8162	newlywed	6.9	6.3	5.9
8163	news	5.0	4.6	4.5
8164	newscast	5.4	4.7	4.8
8165	newscaster	4.9	3.0	4.8
8166	newsflash	5.3	4.6	4.5
8167	newsletter	5.2	3.6	5.0
8168	newsman	5.5	3.1	4.4
8169	newspaper	5.1	2.7	5.0
8170	newspaperman	5.6	3.0	5.0
8171	newsreel	5.5	4.9	5.6
8172	newsroom	4.8	4.1	4.9
8173	newsstand	5.8	3.2	5.0
8174	newt	4.6	3.6	5.6
8175	nexus	5.6	4.0	5.4
8176	nibble	6.3	4.0	6.0
8177	nice	7.0	3.5	6.5
8178	niche	5.8	3.4	5.2
8179	nickel	5.6	4.2	5.0
8180	nickname	6.1	4.4	5.7
8181	nicotine	3.0	4.0	3.6
8182	niece	6.5	4.0	5.4
8183	nifty	6.3	4.6	6.4
8184	nigger	1.7	6.8	3.0
8185	night	6.7	3.6	5.2
8186	nightcap	5.2	4.0	6.1
8187	nightclub	5.3	5.1	5.6
8188	nightfall	6.6	4.0	3.8
8189	nightgown	5.8	3.4	5.7
8190	nightie	7.1	4.6	5.5
8191	nightlife	6.0	6.4	6.1
8192	nightly	5.4	3.6	5.3
8193	nightmare	1.8	5.8	3.2
8194	nightstand	5.6	4.0	5.7
8195	nightstick	3.8	4.8	4.3
8196	nighttime	6.2	3.9	4.8
8197	Nike	5.9	4.7	6.0
8198	nimble	6.2	4.5	5.4
8199	nimrod	4.2	3.7	3.4
8200	nincompoop	5.0	3.2	4.7
8201	nine	5.1	3.8	5.2
8202	nineteen	5.6	3.9	5.1
8203	ninety	4.6	3.3	5.4
8204	ninja	5.1	5.6	5.2
8205	ninny	4.3	5.4	4.8
8206	nintendo	6.8	6.4	6.2
8207	nip	5.2	4.4	4.7
8208	nipper	5.4	4.4	4.9
8209	nipple	5.7	5.9	5.6
8210	nippy	4.8	5.4	5.1
8211	nitrate	5.0	4.0	5.1
8212	nitro	5.0	4.6	4.7
8213	nitrogen	4.6	5.2	4.8
8214	nitrous	5.1	5.2	5.4
8215	nitwit	3.8	4.0	3.5
8216	nix	4.0	3.9	3.9
8217	nobility	5.8	4.6	4.9
8218	noble	7.2	4.1	6.7
8219	nobleman	6.9	4.0	5.4
8220	nocturnal	5.3	3.5	5.6
8221	nod	5.0	2.9	6.1
8222	node	4.8	3.5	5.6
8223	noggin	5.6	4.3	5.7
8224	noir	5.4	3.6	5.3
8225	noise	3.4	5.8	5.5
8226	noisy	3.2	5.2	4.4
8227	nomad	4.7	3.2	5.3
8228	nominal	5.1	3.6	4.6
8229	nominate	5.9	3.5	6.0
8230	nomination	5.6	4.0	6.0
8231	nominee	5.5	4.4	5.8
8232	nonchalant	4.6	3.6	5.8
8233	nonexistent	3.9	3.8	3.8
8234	nonfat	5.7	3.6	6.0
8235	nonfiction	6.0	3.8	5.5
8236	nonsense	4.0	4.5	4.7
8237	nonviolent	6.8	4.0	5.2
8238	noodle	6.5	3.1	5.5
8239	nook	6.3	2.8	5.5
8240	noon	5.4	2.9	6.2
8241	noose	2.4	5.4	4.0
8242	norm	5.6	3.1	5.1
8243	normal	6.2	2.3	6.4
8244	normalcy	4.8	3.2	6.6
